Pclass,Sex,Age,Parch,Fare,Survived
1.0,1.0,13.0,2.0,262.375,[0.8240295]
3.0,0.0,18.0,0.0,7.8792,[0.6420624]
1.0,1.0,47.0,0.0,42.4,[0.47746086]
1.0,1.0,31.0,0.0,28.5375,[0.4048764]
1.0,0.0,60.0,4.0,263.0,[0.8240295]
3.0,0.0,24.0,0.0,7.75,[0.6200888]
3.0,1.0,21.0,0.0,7.8958,[0.10401157]
3.0,0.0,29.0,0.0,7.925,[0.5969939]
1.0,1.0,28.5,0.0,27.7208,[0.3944014]
1.0,0.0,35.0,0.0,211.5,[0.8240295]
1.0,1.0,32.5,0.0,211.5,[0.8240295]
1.0,0.0,55.0,0.0,25.7,[0.8240295]
2.0,1.0,30.0,0.0,13.0,[0.11735806]
3.0,0.0,24.0,0.0,7.75,[0.6200888]
3.0,1.0,6.0,1.0,15.2458,[0.9145813]
1.0,1.0,67.0,0.0,221.7792,[0.8240295]
1.0,1.0,49.0,0.0,26.0,[0.3013532]
3.0,0.0,27.0,0.0,7.8792,[0.6060532]
3.0,0.0,18.0,0.0,8.05,[0.6397137]
2.0,1.0,2.0,1.0,23.0,[0.6886648]
3.0,0.0,22.0,0.0,13.9,[0.6060468]
1.0,0.0,27.0,2.0,52.0,[0.8240295]
1.0,1.0,25.0,0.0,26.0,[0.39690453]
3.0,1.0,25.0,0.0,7.7958,[0.10224757]
1.0,0.0,76.0,0.0,78.85,[0.8240295]
3.0,1.0,29.0,0.0,7.925,[0.09570044]
3.0,0.0,20.0,0.0,7.8542,[0.63585943]
3.0,1.0,33.0,0.0,8.05,[0.08924419]
1.0,0.0,43.0,0.0,55.4417,[0.8240295]
2.0,1.0,27.0,0.0,26.0,[0.17939734]
3.0,1.0,26.0,0.0,7.775,[0.10117808]
3.0,0.0,16.0,1.0,8.5167,[0.6656809]
3.0,1.0,28.0,0.0,22.525,[0.06808886]
3.0,1.0,21.0,0.0,7.8208,[0.10470313]
2.0,1.0,18.5,0.0,13.0,[0.14676794]
2.0,1.0,41.0,0.0,15.0458,[0.10776299]
1.0,0.0,36.0,0.0,31.6792,[0.8240295]
3.0,0.0,18.5,0.0,7.2833,[0.6485869]
1.0,0.0,63.0,0.0,221.7792,[0.8240295]
3.0,1.0,18.0,0.0,14.4542,[0.32814795]
3.0,0.0,1.0,1.0,16.7,[0.8934636]
1.0,1.0,36.0,0.0,75.2417,[0.6406436]
2.0,0.0,29.0,0.0,26.0,[0.8240295]
2.0,0.0,12.0,0.0,15.75,[0.81471086]
1.0,0.0,35.0,0.0,57.75,[0.8240295]
3.0,1.0,28.0,0.0,7.25,[0.09972212]
3.0,0.0,17.0,1.0,16.1,[0.53728557]
3.0,1.0,22.0,0.0,7.7958,[0.10417742]
2.0,1.0,42.0,0.0,13.0,[0.10941064]
3.0,1.0,24.0,0.0,8.05,[0.10059509]
3.0,1.0,32.0,0.0,8.05,[0.09071472]
1.0,1.0,53.0,0.0,28.5,[0.31388646]
3.0,1.0,43.0,0.0,7.8958,[0.07612669]
3.0,1.0,24.0,0.0,7.8542,[0.10229555]
3.0,1.0,26.5,0.0,7.225,[0.10226086]
2.0,1.0,26.0,0.0,13.0,[0.11690527]
3.0,0.0,23.0,0.0,8.05,[0.6214226]
3.0,1.0,40.0,6.0,46.9,[0.01705289]
3.0,0.0,10.0,2.0,46.9,[0.47269857]
1.0,0.0,33.0,0.0,151.55,[0.8240295]
1.0,1.0,61.0,3.0,262.375,[0.708933]
2.0,1.0,28.0,0.0,26.0,[0.17636275]
1.0,1.0,42.0,0.0,26.55,[0.3752524]
3.0,1.0,31.0,0.0,18.0,[0.04960403]
3.0,1.0,22.0,0.0,8.05,[0.10186011]
2.0,1.0,30.0,1.0,26.0,[0.12898293]
1.0,0.0,23.0,1.0,83.1583,[0.8240295]
3.0,0.0,36.0,2.0,12.1833,[0.512966]
3.0,1.0,13.0,2.0,31.3875,[0.08359084]
3.0,1.0,24.0,0.0,7.55,[0.10498786]
1.0,0.0,29.0,0.0,221.7792,[0.8240295]
3.0,0.0,23.0,0.0,7.8542,[0.6233084]
1.0,1.0,42.0,0.0,26.55,[0.3752524]
3.0,0.0,26.0,2.0,13.775,[0.55123615]
3.0,1.0,7.0,1.0,15.2458,[0.8992688]
2.0,0.0,26.0,0.0,13.5,[0.8037776]
2.0,1.0,41.0,0.0,13.0,[0.1113179]
3.0,0.0,26.0,1.0,22.025,[0.52318436]
1.0,1.0,48.0,0.0,50.4958,[0.493363]
3.0,1.0,18.0,2.0,34.375,[0.07796302]
3.0,0.0,22.0,0.0,8.9625,[0.61368704]
3.0,1.0,27.0,0.0,7.225,[0.10143942]
3.0,1.0,23.0,0.0,13.9,[0.06257054]
3.0,1.0,40.0,5.0,31.3875,[0.01885107]
2.0,0.0,15.0,2.0,39.0,[0.7132275]
2.0,0.0,20.0,0.0,36.75,[0.8240295]
1.0,1.0,54.0,0.0,55.4417,[0.4933421]
2.0,0.0,36.0,3.0,39.0,[0.64886636]
1.0,0.0,64.0,2.0,83.1583,[0.8240295]
2.0,1.0,30.0,0.0,13.0,[0.11735806]
1.0,1.0,37.0,1.0,83.1583,[0.5843087]
1.0,0.0,18.0,0.0,53.1,[0.8240295]
1.0,0.0,27.0,1.0,247.5208,[0.8240295]
2.0,1.0,40.0,0.0,16.0,[0.10288244]
2.0,0.0,21.0,1.0,21.0,[0.7456446]
3.0,1.0,17.0,0.0,8.05,[0.11179608]
2.0,1.0,40.0,0.0,13.0,[0.11325416]
2.0,1.0,34.0,0.0,26.0,[0.19769675]
3.0,1.0,11.5,1.0,14.5,[0.78016233]
2.0,1.0,61.0,0.0,12.35,[0.08161607]
2.0,1.0,8.0,2.0,32.5,[0.1639379]
3.0,1.0,33.0,0.0,7.8542,[0.08989856]
1.0,1.0,6.0,2.0,134.5,[0.8240295]
3.0,0.0,18.0,0.0,7.775,[0.6434918]
2.0,1.0,23.0,0.0,10.5,[0.13829973]
3.0,1.0,0.33,2.0,14.4,[0.99029016]
1.0,1.0,47.0,0.0,227.525,[0.8240295]
2.0,0.0,8.0,1.0,26.0,[0.7427465]
2.0,1.0,25.0,0.0,10.5,[0.13892159]
3.0,0.0,35.0,0.0,7.75,[0.5725759]
2.0,1.0,24.0,0.0,10.5,[0.13861036]
1.0,0.0,33.0,0.0,27.7208,[0.8240295]
3.0,1.0,25.0,0.0,7.8958,[0.1013763]
3.0,1.0,32.0,0.0,22.525,[0.06105593]
2.0,1.0,17.0,0.0,73.5,[0.36371228]
2.0,0.0,60.0,0.0,26.0,[0.7927767]
3.0,0.0,38.0,2.0,7.775,[0.5173105]
1.0,1.0,42.0,0.0,42.5,[0.44088396]
1.0,1.0,57.0,1.0,164.8667,[0.7363503]
1.0,0.0,50.0,1.0,211.5,[0.8240295]
2.0,0.0,30.0,0.0,13.8583,[0.80168533]
3.0,1.0,21.0,0.0,8.05,[0.10260236]
2.0,0.0,22.0,0.0,10.5,[0.8041298]
3.0,1.0,21.0,0.0,7.7958,[0.10493451]
1.0,0.0,53.0,0.0,27.4458,[0.8240295]
3.0,1.0,23.0,0.0,7.7958,[0.10342497]
3.0,1.0,40.5,0.0,15.1,[0.05604291]
2.0,1.0,36.0,0.0,13.0,[0.118067]
2.0,1.0,14.0,0.0,65.0,[0.35910916]
1.0,0.0,21.0,0.0,26.55,[0.8240295]
3.0,1.0,21.0,0.0,6.4958,[0.11948738]
1.0,1.0,39.0,0.0,71.2833,[0.64298123]
3.0,1.0,20.0,0.0,7.8542,[0.10515317]
1.0,1.0,64.0,0.0,75.25,[0.6910005]
3.0,1.0,20.0,0.0,7.225,[0.11113891]
2.0,0.0,18.0,1.0,13.0,[0.7770842]
1.0,0.0,48.0,0.0,106.425,[0.8240295]
1.0,0.0,55.0,0.0,27.7208,[0.8240295]
2.0,0.0,45.0,2.0,30.0,[0.7384653]
1.0,1.0,45.0,1.0,134.5,[0.6690056]
1.0,1.0,41.0,0.0,51.8625,[0.6193332]
2.0,0.0,22.0,0.0,21.0,[0.8167397]
2.0,1.0,42.0,1.0,32.5,[0.15876067]
2.0,0.0,29.0,0.0,26.0,[0.8240295]
2.0,0.0,0.92,2.0,27.75,[0.8118525]
3.0,1.0,20.0,0.0,7.925,[0.10449782]
1.0,1.0,27.0,0.0,136.7792,[0.7722791]
3.0,1.0,24.0,0.0,9.325,[0.09012502]
3.0,1.0,32.5,0.0,9.5,[0.08522835]
3.0,1.0,28.0,0.0,8.05,[0.0968172]
2.0,0.0,19.0,0.0,13.0,[0.81060076]
3.0,1.0,21.0,0.0,7.775,[0.10512739]
3.0,1.0,36.5,0.0,17.4,[0.04708686]
3.0,1.0,21.0,0.0,7.8542,[0.10439461]
2.0,0.0,29.0,2.0,23.0,[0.70479643]
3.0,0.0,1.0,1.0,12.1833,[0.9416209]
2.0,1.0,30.0,0.0,12.7375,[0.11880946]
3.0,1.0,17.0,0.0,8.6625,[0.10583264]
1.0,1.0,46.0,0.0,75.2417,[0.666435]
1.0,0.0,26.0,0.0,136.7792,[0.8240295]
2.0,0.0,20.0,0.0,26.0,[0.8240295]
2.0,1.0,28.0,0.0,10.5,[0.13985866]
2.0,1.0,40.0,0.0,26.0,[0.16609254]
2.0,1.0,30.0,0.0,21.0,[0.1610376]
2.0,1.0,22.0,0.0,10.5,[0.13798982]
3.0,0.0,23.0,0.0,8.6625,[0.6180685]
3.0,1.0,0.75,1.0,13.775,[0.98182476]
3.0,0.0,9.0,1.0,15.2458,[0.5648489]
3.0,0.0,2.0,1.0,20.2125,[0.6558181]
3.0,1.0,36.0,0.0,7.25,[0.08754441]
1.0,1.0,24.0,0.0,82.2667,[0.60943234]
3.0,0.0,30.0,0.0,6.95,[0.60227454]
1.0,1.0,53.0,1.0,81.8583,[0.62595767]
3.0,1.0,36.0,0.0,9.5,[0.08045366]
3.0,1.0,26.0,0.0,7.8958,[0.1007072]
2.0,0.0,1.0,2.0,41.5792,[0.82461953]
1.0,1.0,30.0,0.0,45.5,[0.58160186]
3.0,1.0,29.0,0.0,7.8542,[0.09595186]
3.0,1.0,32.0,0.0,7.775,[0.09164864]
2.0,1.0,43.0,1.0,21.0,[0.0825924]
3.0,1.0,24.0,0.0,8.6625,[0.09543681]
1.0,0.0,64.0,1.0,26.55,[0.8240295]
1.0,1.0,30.0,2.0,151.55,[0.7020008]
3.0,1.0,0.83,1.0,9.35,[0.9886379]
1.0,1.0,55.0,1.0,93.5,[0.6475598]
3.0,0.0,45.0,0.0,14.1083,[0.54593736]
3.0,1.0,18.0,0.0,8.6625,[0.10004115]
3.0,1.0,22.0,0.0,7.225,[0.10955098]
3.0,0.0,37.0,0.0,7.75,[0.5637634]
1.0,0.0,55.0,0.0,135.6333,[0.8240295]
3.0,0.0,17.0,0.0,7.7333,[0.64730966]
1.0,1.0,57.0,0.0,146.5208,[0.7772801]
2.0,1.0,19.0,0.0,10.5,[0.14175832]
3.0,1.0,27.0,0.0,7.8542,[0.09911326]
2.0,1.0,22.0,0.0,31.5,[0.2847106]
3.0,1.0,26.0,0.0,7.775,[0.10117808]
3.0,1.0,25.0,0.0,7.2292,[0.1058259]
2.0,1.0,26.0,0.0,13.0,[0.11690527]
1.0,1.0,33.0,0.0,26.55,[0.42353585]
1.0,0.0,39.0,0.0,211.3375,[0.8240295]
3.0,1.0,23.0,0.0,7.05,[0.11044943]
2.0,0.0,12.0,1.0,39.0,[0.775986]
1.0,1.0,46.0,0.0,79.2,[0.6717516]
2.0,1.0,29.0,0.0,26.0,[0.17950138]
2.0,1.0,21.0,0.0,13.0,[0.13430291]
2.0,0.0,48.0,2.0,36.75,[0.76674163]
1.0,1.0,39.0,0.0,29.7,[0.4447942]
3.0,0.0,19.0,1.0,15.7417,[0.5461636]
3.0,1.0,27.0,0.0,7.8958,[0.09896114]
1.0,1.0,30.0,0.0,26.0,[0.40476826]
2.0,1.0,32.0,0.0,13.0,[0.11759394]
3.0,1.0,39.0,2.0,7.2292,[0.07215014]
2.0,1.0,25.0,0.0,31.5,[0.24991423]
2.0,1.0,18.0,0.0,10.5,[0.14540333]
3.0,1.0,32.0,0.0,7.5792,[0.09231874]
1.0,0.0,58.0,1.0,512.3292,[0.8240295]
3.0,0.0,16.0,0.0,7.65,[0.6516735]
2.0,1.0,26.0,0.0,13.0,[0.11690527]
3.0,0.0,38.0,0.0,7.2292,[0.5645951]
2.0,1.0,24.0,0.0,13.5,[0.12311372]
2.0,0.0,31.0,0.0,21.0,[0.8240295]
1.0,0.0,45.0,1.0,63.3583,[0.8240295]
2.0,1.0,25.0,0.0,10.5,[0.13892159]
2.0,1.0,18.0,0.0,73.5,[0.36774024]
2.0,1.0,49.0,2.0,65.0,[0.28029543]
3.0,0.0,0.17,2.0,20.575,[0.93591654]
1.0,1.0,50.0,0.0,26.0,[0.29292092]
1.0,0.0,59.0,0.0,51.4792,[0.8240295]
3.0,0.0,30.0,0.0,15.55,[0.59712017]
3.0,1.0,14.5,2.0,69.55,[0.10499549]
2.0,0.0,24.0,1.0,37.0042,[0.8162507]
2.0,0.0,31.0,0.0,21.0,[0.8240295]
3.0,1.0,27.0,0.0,8.6625,[0.09461796]
1.0,0.0,25.0,0.0,55.4417,[0.8240295]
3.0,0.0,22.0,0.0,39.6875,[0.7195597]
1.0,0.0,45.0,1.0,59.4,[0.8240295]
2.0,1.0,29.0,0.0,13.8583,[0.11260548]
2.0,1.0,21.0,0.0,11.5,[0.13165498]
1.0,0.0,31.0,0.0,134.5,[0.8240295]
1.0,1.0,49.0,0.0,0.0,[0.00169948]
2.0,1.0,44.0,0.0,13.0,[0.10568205]
1.0,0.0,54.0,1.0,81.8583,[0.8240295]
1.0,0.0,45.0,0.0,262.375,[0.8240295]
3.0,0.0,22.0,0.0,8.6625,[0.6179277]
2.0,1.0,21.0,0.0,11.5,[0.13165498]
1.0,1.0,55.0,0.0,50.0,[0.5125147]
3.0,1.0,5.0,2.0,31.3875,[0.2328667]
3.0,1.0,26.0,0.0,7.8792,[0.10077178]
3.0,0.0,19.0,0.0,16.1,[0.6020798]
2.0,0.0,24.0,2.0,65.0,[0.78933203]
3.0,1.0,24.0,0.0,7.775,[0.10299054]
2.0,1.0,57.0,0.0,13.0,[0.08506885]
3.0,1.0,21.0,0.0,7.75,[0.10535967]
3.0,1.0,6.0,1.0,21.075,[0.4797802]
1.0,1.0,23.0,0.0,93.5,[0.6154086]
1.0,0.0,51.0,1.0,39.4,[0.8240295]
3.0,1.0,13.0,2.0,20.25,[0.5746174]
2.0,1.0,47.0,0.0,10.5,[0.10974565]
3.0,1.0,29.0,1.0,22.025,[0.04544055]
1.0,0.0,18.0,0.0,60.0,[0.8240295]
3.0,1.0,24.0,0.0,7.25,[0.10774577]
1.0,0.0,48.0,1.0,79.2,[0.8240295]
3.0,1.0,22.0,0.0,7.775,[0.10436907]
3.0,1.0,31.0,0.0,7.7333,[0.09329918]
1.0,0.0,30.0,0.0,164.8667,[0.8240295]
2.0,1.0,38.0,0.0,21.0,[0.1220091]
1.0,0.0,22.0,1.0,59.4,[0.8240295]
1.0,1.0,17.0,0.0,47.1,[0.5474029]
1.0,1.0,43.0,0.0,27.7208,[0.3900916]
2.0,1.0,20.0,0.0,13.8625,[0.14400047]
2.0,1.0,23.0,0.0,10.5,[0.13829973]
1.0,1.0,50.0,1.0,211.5,[0.74689794]
3.0,0.0,3.0,1.0,13.775,[0.91335547]
1.0,0.0,37.0,0.0,90.0,[0.8240295]
3.0,0.0,28.0,0.0,7.775,[0.60278016]
1.0,0.0,39.0,0.0,108.9,[0.8240295]
3.0,1.0,38.5,0.0,7.25,[0.08402362]
