기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대구
기간 : 20200803~20220803

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-11-12,143,7.4,5.6,10.4
2021-11-13,143,7.8,1.5,15.1
2021-11-14,143,9.6,3,17.7
2021-11-15,143,9.7,4.2,17.4
2021-11-16,143,9.3,3.3,17.1
2021-11-17,143,9.6,1.9,15.8
2021-11-18,143,10.5,4.4,18.1
2021-11-19,143,11,3.6,18.8
2021-11-20,143,10.7,5.1,18.9
2021-11-21,143,11.4,6.4,16.9
2021-11-22,143,7.4,3.5,12.1
2021-11-23,143,4.4,1.3,7.7
2021-11-24,143,7.7,3.8,12.9
2021-11-25,143,9,1.9,16.2
2021-11-26,143,7.2,3.6,12
2021-11-27,143,5.9,1.4,11.4
2021-11-28,143,5.2,-2.2,13.1
2021-11-29,143,7.2,-0.8,16.1
2021-11-30,143,5.7,3,10.6
2021-12-01,143,2.4,-0.5,4.8
2021-12-02,143,2.6,-1.1,7.6
2021-12-03,143,4.8,1.2,10.3
2021-12-04,143,4.2,0.9,8.7
2021-12-05,143,3.7,-2.2,11.6
2021-12-06,143,5.1,-0.5,12.5
2021-12-07,143,7.5,1.1,14.7
2021-12-08,143,6.6,0.9,13.4
2021-12-09,143,6.5,0.4,12.6
2021-12-10,143,8,2.8,13.4
2021-12-11,143,8.9,3.4,13.1
2021-12-12,143,6.6,-0.2,11.2
2021-12-13,143,0.5,-3.7,5.8
2021-12-14,143,3.7,-2.8,8.9
2021-12-15,143,6.1,-0.8,14.9
2021-12-16,143,6.3,2.5,10.3
2021-12-17,143,0.5,-6,7.8
2021-12-18,143,-3.4,-8.7,2.6
2021-12-19,143,1.2,-3.8,6
2021-12-20,143,4.8,-3,12.7
2021-12-21,143,6.3,-0.6,14.2
2021-12-22,143,4.3,-1.5,12.3
2021-12-23,143,3.3,-2.9,11.1
2021-12-24,143,4.2,-0.9,10.9
2021-12-25,143,-4.7,-8.2,1.6
2021-12-26,143,-7.1,-10.8,-3.1
2021-12-27,143,-2.1,-7.9,2.3
2021-12-28,143,2.1,-3.4,7.4
2021-12-29,143,3.5,-2.6,10
2021-12-30,143,1.1,-1.9,4.9
2021-12-31,143,-2.5,-4.9,1.6
2022-01-01,143,-2.3,-8.8,5.6
2022-01-02,143,0.6,-6,7.7
2022-01-03,143,-0.2,-6.5,6.9
2022-01-04,143,1.9,-2.5,7.6
2022-01-05,143,0.6,-5.6,5
2022-01-06,143,2.9,-2.3,7.9
2022-01-07,143,0.1,-6.6,8.6
2022-01-08,143,1.4,-6.3,8.9
2022-01-09,143,2,-2.2,8.7
2022-01-10,143,3,-4.5,9.9
2022-01-11,143,-0.9,-5.5,4.7
2022-01-12,143,-3.2,-7.6,1.8
2022-01-13,143,-2.8,-4.8,1
2022-01-14,143,-2.6,-6.7,4.2
2022-01-15,143,1,-4.7,8.4
2022-01-16,143,1.9,-2.2,8.2
2022-01-17,143,-0.4,-4.1,4.7
2022-01-18,143,-2.5,-6.1,2.8
2022-01-19,143,-0.7,-7.8,5.6
2022-01-20,143,-1.1,-5.3,5.1
2022-01-21,143,-1,-8.3,6.8
2022-01-22,143,2.3,-5.8,10.1
2022-01-23,143,6.4,1.5,12.8
2022-01-24,143,4.9,2.2,6.9
2022-01-25,143,4.5,1.2,7.5
2022-01-26,143,3.8,0.8,8.2
2022-01-27,143,3.2,-2.1,9.7
2022-01-28,143,2.3,-0.3,6.7
2022-01-29,143,1,-1.7,5.5
2022-01-30,143,1.1,-4.2,6.5
2022-01-31,143,1.3,-5.3,7.8
2022-02-01,143,1.9,-2.8,5.4
2022-02-02,143,0.7,-2.1,5.6
2022-02-03,143,0.4,-3.8,5.4
2022-02-04,143,-0.6,-3.4,4.2
2022-02-05,143,-3,-6.4,1.1
2022-02-06,143,-1.1,-5,3.5
2022-02-07,143,0.2,-3.6,3.6
2022-02-08,143,1.5,-3.7,7.1
2022-02-09,143,2.6,-5.7,9.4
2022-02-10,143,5.3,1.2,10.7
2022-02-11,143,3.5,-3.6,11.8
2022-02-12,143,4.8,-2,12.7
2022-02-13,143,5.4,-0.7,11.6
2022-02-14,143,7.3,2.5,13
2022-02-15,143,0.4,-4.3,6.6
2022-02-16,143,-3.6,-5.8,0.8
2022-02-17,143,-4.3,-8.4,1.5
2022-02-18,143,-0.8,-9.3,8.1
2022-02-19,143,2.4,-0.2,7.1
2022-02-20,143,-2.2,-5.2,2
2022-02-21,143,1.2,-5,7.4
2022-02-22,143,-0.4,-3.3,3.9
2022-02-23,143,-2.3,-6.3,2.8
2022-02-24,143,0.5,-5.1,6.7
2022-02-25,143,5,-2,11.7
2022-02-26,143,6.8,-1.9,14.7
2022-02-27,143,6.3,1.7,12.6
2022-02-28,143,7,-2.5,15.1
2022-03-01,143,9.9,4.9,16.3
2022-03-02,143,6.2,1.3,12.3
2022-03-03,143,7.7,-0.2,15.2
2022-03-04,143,8.8,-0.6,17.3
2022-03-05,143,6.9,1.5,12.2
2022-03-06,143,4,0,10.2
2022-03-07,143,5.2,-2.2,12.7
2022-03-08,143,8.1,-1.1,15.8
2022-03-09,143,9.1,0.5,17.5
2022-03-10,143,10.5,2.2,18.3
2022-03-11,143,12.5,5.2,18.9
2022-03-12,143,14.7,7.1,21.5
2022-03-13,143,15.1,10.3,18.5
2022-03-14,143,10.8,8.9,13.9
2022-03-15,143,11.7,6,19.3
2022-03-16,143,14.4,5.1,23
2022-03-17,143,8.8,6.3,13.6
2022-03-18,143,6.1,4.3,8.1
2022-03-19,143,4.9,3,8.1
2022-03-20,143,6.6,2,11
2022-03-21,143,8.3,2.2,13.8
2022-03-22,143,8.7,5.5,14.2
2022-03-23,143,6.8,2.6,11.1
2022-03-24,143,9.1,1.4,17
2022-03-25,143,13.5,6.1,20.1
2022-03-26,143,14.7,12.3,20.4
2022-03-27,143,13.1,7.3,20.7
2022-03-28,143,9,3,14.9
2022-03-29,143,10.8,1.8,19.8
2022-03-30,143,14.8,5.7,23.3
2022-03-31,143,10.5,6.7,13.4
2022-04-01,143,8.8,3.7,13.7
2022-04-02,143,10.2,1.2,17.3
2022-04-03,143,11.3,3.4,19.3
2022-04-04,143,13.2,4.7,21
2022-04-05,143,14.4,5.7,21.5
2022-04-06,143,16,10,23.5
2022-04-07,143,14.4,8.8,20.5
2022-04-08,143,15.7,6,24.3
2022-04-09,143,18.6,9.4,28.5
2022-04-10,143,19.5,11.4,27.5
2022-04-11,143,20.3,13.6,27.9
2022-04-12,143,22.5,15.4,30.2
2022-04-13,143,12.2,9.6,21.3
2022-04-14,143,10.9,9.2,13.2
2022-04-15,143,12.1,8.9,19.1
2022-04-16,143,13.5,4.3,21
2022-04-17,143,15.6,7.1,23
2022-04-18,143,18.1,10.9,24.3
2022-04-19,143,18.4,9.5,25.7
2022-04-20,143,18.2,8.8,26.6
2022-04-21,143,14.3,11,19.7
2022-04-22,143,19,8.9,28.5
2022-04-23,143,19.1,14.9,25.9
2022-04-24,143,22,12.5,29.9
2022-04-25,143,21.7,14.5,29.3
2022-04-26,143,18.3,15.8,20.6
2022-04-27,143,17.2,12.6,20.3
2022-04-28,143,15.7,10.4,22.5
2022-04-29,143,11.3,9.3,13.8
2022-04-30,143,14.5,9.9,19.7
2022-05-01,143,15.2,10.2,20.3
2022-05-02,143,13.1,7.4,20.7
2022-05-03,143,15.2,6.5,23.5
2022-05-04,143,19,9.8,28.3
2022-05-05,143,20,11.9,29.1
2022-05-06,143,21.2,12.2,28.7
2022-05-07,143,18.9,13.6,26
2022-05-08,143,16.4,12.8,22.1
2022-05-09,143,16.2,12.3,21.9
2022-05-10,143,16.5,10.3,23.5
2022-05-11,143,20.7,14.3,26.8
2022-05-12,143,20.2,15.9,24.6
2022-05-13,143,15.7,13.3,19.3
2022-05-14,143,17.9,11.1,24.6
2022-05-15,143,17.1,12.8,23.2
2022-05-16,143,18.5,9.7,25.5
2022-05-17,143,20.4,10.8,28.2
2022-05-18,143,23.3,13,31.1
2022-05-19,143,23,16.2,29.5
2022-05-20,143,22.8,17.1,28.6
2022-05-21,143,23.7,17.9,29.7
2022-05-22,143,24.8,18.6,32.7
2022-05-23,143,24.3,15.4,32.3
2022-05-24,143,26.4,19.3,33.2
2022-05-25,143,25.5,18.8,33.2
2022-05-26,143,22.9,18.7,27.5
2022-05-27,143,23.8,16.4,29.5
2022-05-28,143,24.9,15.2,33
